collection_number,locality_id,continent,country,state,latitude_band,paleoocean,latitude,longitude,paleolatitude,paleolongitude,formation,member,stratscale,collection_name,collection_aka,n_occs,early_interval,late_interval,max_ma,min_ma,age_range,time_interval_type,early_epoch,late_epoch,early_period,late_period,early_era,late_era,reference,collection_comments,age_evaluation,comments_evaluation,fossil_type,reference_display,reference_key
PBDB_42459,1463,Asia,Saudi Arabia,Ash Sharqiyah,Northern Temperate,Neo-Tethys,26.425833,50.114166,14.87,43.44,Umm al-Rua'us,,formation,"Umm al-Rua'us Formation, Saudi Arabia - Abbass (1972)",,9,Ypresian,Ypresian,56,47.8,8.2,Stage,Eocene,Eocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Abbass 1972,"based on nearby landmark; About 180 km from Riyadh to Dammam, i.e. 40 miles west of Quseibi Rest House, Ash Sharqiyah, Saudi Arabia. Lat/long estimate based on Dammam, Saudi Arabia",valid,"From PBDB: A real mess! No lithostratigraphic name given, but literature search suggests that similar Ypressian age facies in the Dammam region belong to the Umm al-Rua‚Äôus Formation. The biostratigraphy in the manuscript is not clear, but foraminifera suggest a Ypresian age. Other faunal groups have less well constrained age ranges, with a lot of Danian molluscs.",,Abbass 1972,abbass 1972
PBDB_102978,22,Asia,Japan,Shimane,Northern Temperate,Pacific,35.349998,132.75,35,130.93,Fujina,,formation,Izumo,,1,Middle Miocene,Middle Miocene,15.97,11.63,4.34,Sub-Epoch,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Abe et al. 1982,based on nearby landmark;,valid,"Age based on Tanaka et al., 2002",,Abe Et Al. 1982,abe et al. 1982
L_2636,3443,Africa,Tanzania,Tataouine,Tropical,Pacific,-9.71389,39.225,-37.12,18.61,Tendaguru,,,Tendaguru beds,,3,Valanginian,Hauterivian,139.8,129.4,10.4,Sub-Epoch,Lower Cretaceous,Lower Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Aberhan et al. 2002,Coordinates estimated from a map,valid,age justified in the text,"teeth, fin spines",Aberhan Et Al. 2002,aberhan et al. 2002
PBDB_100290,3,Antarctica,Antarctica,Seymour Island,Southern Temperate,Southern,-64.240555,-56.650002,-61.74,-59.75,La Meseta,Telm 7,member,DPV 10/84,,2,Priabonian,Priabonian,37.71,33.9,3.81,Stage,Eocene,Eocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Acosta Hospitaleche and Reguero 2010,estimated from map; Isla Marambio,valid,age range stated in the text,,Acosta Hospitaleche & Reguero 2010,acosta hospitaleche & reguero 2010
PBDB_152083,352,South America,Argentina,Chubut,Southern Temperate,Pacific,-42.333332,-71.849998,-41.9,-67.41,,,,Cerro Plataforma,,1,Early Miocene,Early Miocene,23.03,15.97,7.06,Sub-Epoch,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Acosta Hospitaleche et al. 2013,"stated in text; Marine rocks with a rich -albeit rather poorly preserved- fauna of invertebrates and rare remains of marine vertebrate fossils crop out approximately 30 km south of the town of Lago Puelo (Chubut Province, Argentina; Fig. 1).",valid,,,Acosta Hospitaleche Et Al. 2013,acosta hospitaleche et al. 2013
PBDB_60711,1762,Africa,Nigeria,,Tropical,Neo-Tethys,5,7.5,0.57,2.55,Ameki,,formation,"Bivalvia, Schenck collection, Ameki",,14,Lutetian,Lutetian,47.8,41.2,6.6,Stage,Eocene,Eocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adegoke 1968,estimated from map; surroundings of Ameki,valid,,,Adegoke 1968,adegoke 1968
PBDB_7791,1922,Africa,Nigeria,,Tropical,Pacific,6.92,3.19,3.3,-3.09,Ewekoro,,group of beds,Ewekoro Quarry,,3,Selandian,Selandian,61.6,59.2,2.4,Stage,Paleocene,Paleocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adegoke 1977," The exposure is in Ewekoro, NW of Lagos Nigeria, at the West African Portland Cement Company Limited quarry.",valid,,,Adegoke 1977,adegoke 1977
L_1492,2574,Europe,France,Angoumé,Northern Temperate,Neo-Tethys,43.7647,1.365,42.27,1.08,,,,Marne de Miretrain,,53,Lutetian,Bartonian,47.8,37.71,10.09,Sub-Epoch,Eocene,Eocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet 2000,,valid,age justified in the text,teeth,Adnet 2000,adnet 2000
L_1493,2575,Europe,France,Angoumé,Northern Temperate,Neo-Tethys,43.7903,0.9392,42.57,0.41,,,,Saint-Geours-d’Auribat,,41,Ypresian,Lutenian,56,41.2,14.8,Sub-Epoch,Eocene,Eocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet 2000,,valid,age justified in the text,teeth,Adnet 2000,adnet 2000
L_624,4372,Europe,Belgium,,Northern Temperate,Mediterranean,50.833333,4,50.79,4.02,,,,"Boom clay, Collection G. Van den Eeckhaut",,1,early Pleistocene,early Pleistocene,1.8,0.8,1,Sub-Epoch,Pleistocene,Pleistocene,Quaternary,Quaternary,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 1.3 +-0.5; Coordinates estimated from a nearby landmark,valid,Age with confidence: 3.6 +-1.7,teeth,Adnet & Martin 2007,adnet & martin 2007
L_625,5012,Europe,Belgium,,Northern Temperate,Mediterranean,50.833333,4,50.69,4.05,,,,"Belgium, Coll. P. Zennaro, middle Pliocene",,1,late Pliocene,late Pliocene,3.5,2.5,1,Sub-Epoch,Pliocene,Pliocene,Neogene,Neogene,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 3 +-0.5; Coordinates estimated from a nearby landmark,valid,Age with confidence: 3.6 +-1.7,teeth,Adnet & Martin 2007,adnet & martin 2007
L_626,2204,Europe,Belgium,Antwerp,Northern Temperate,Mediterranean,51.217778,4.400278,51.04,4.47,,,,"Kattendijk Sands, Collection G. Van den Eeckhaut",,1,early Pliocene,early Pleistocene,5.3,1.8,3.5,Sub-Epoch,Pliocene,Pleistocene,Neogene,Quaternary,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 3.6 +-1.7; Coordinates estimated from a nearby landmark,valid,Age with confidence: 3.6 +-1.7,teeth,Adnet & Martin 2007,adnet & martin 2007
L_627,4373,South America,Chile,Atacama,Southern Temperate,Pacific,-24.5,-69.25,-24.29,-68.53,,,,"Atacama Desert, Chile",,1,early Pliocene,early Pleistocene,5.3,1.8,3.5,Sub-Epoch,Pliocene,Pleistocene,Neogene,Quaternary,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 3.6 +-1.7; Coordinates estimated from a nearby landmark,valid,Age with confidence: 3.6 +-1.7,teeth,Adnet & Martin 2007,adnet & martin 2007
L_628,2204,Europe,Belgium,Antwerp,Northern Temperate,Mediterranean,51.217778,4.400278,51.04,4.47,,,,"Oorderen Sands, collection G. Van den Eeckhaut",,1,early Pliocene,early Pleistocene,5.3,1.8,3.5,Sub-Epoch,Pliocene,Pleistocene,Neogene,Quaternary,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 3.6 +-1.7; Coordinates estimated from a nearby landmark,valid,Age with confidence: 3.6 +-1.7,teeth,Adnet & Martin 2007,adnet & martin 2007
