author,year,identifier,title,journal,DOI,abstract,author1,journal_detail,pubtype,language,source,collection_number,occurrence_number,reference_key,reference_display
"Abbass H. L., ",1972,,Paleontological studies of some Saudi Arabian lower Tertiary fossils,Egyptian Journal of Geology,,,Abbass,,Journal article,unknown,PBDB,PBDB_42459,"PBDB_24262, PBDB_24263, PBDB_24264, PBDB_24265, PBDB_24266, PBDB_24267, PBDB_24268, PBDB_24270, PBDB_24269",abbass 1972,Abbass 1972
"Abe T., Sugiyama M., T. Nakamura, T. Hiraoka, K. Hirota",1982,,"New occurrence of Desmostylus from the Miocene Fujina Formation, Shimane prefecture",Earth Science,,,Abe,,Journal article,Japanese,PBDB,PBDB_102978,PBDB_12198,abe et al. 1982,Abe et al. 1982
"Aberhan, M. & Bussert, R. & Heinrich, W.-D. & Schrank, E. & Schultka, S. & Sames, B. & Kriwet, J. & Kapilima, S.",2002,,"Palaeoecology and depositional environments of the Tendaguru Beds (Late Jurassic to Early Cretaceous, Tanzania).",Geowissenschaftliche Reih,10.1002/mmng.20020050103,"The Late Jurassic to Early Cretaceous Tendaguru Beds (Tanzania, East Africa) have been well known for nearly a century for their diverse dinosaur assemblages. Here, we present sedimentological and palaeontological data collected by the German-Tanzanian Tendaguru Expedition 2000 in an attempt to reconstruct the palaeo-ecosystems of the Tendaguru Beds at their type locality. Our reconstructions are based on sedimentological data and on a palaeoecological analysis of macroinvertebrates, microvertebrates, plant fossils and microfossils (ostracods, foraminifera, charophytes, palynomorphs). In addition, we included data from previous expeditions, particularly those on the dinosaur assemblages.

The environmental model of the Tendaguru Beds presented herein comprises three broad palaeoenvironmental units in a marginal marine setting: (1) Lagoon-like, shallow marine environments above fair weather wave base and with evidence of tides and storms. These formed behind barriers such as ooid bar and siliciclastic sand bar complexes and were generally subject to minor salinity fluctuations. (2) Extended tidal flats and low-relief coastal plains. These include low-energy, brackish coastal lakes and ponds as well as pools and small fluvial channels of coastal plains in which the large dinosaurs were buried. Since these environments apparently were, at best, poorly vegetated, the main feeding grounds of giant sauropods must have been elsewhere. Presumably, tidal flats and coastal plains were visited by dinosaurs primarily during periods of drought. (3) Vegetated hinterland. Vegetation of this environment can only be inferred indirectly from plant material transported into the other depositional environments. Vegetation was dominated by a diverse conifer flora, which apparently formed part of the food source of large herbivorous sauropods. Evidence from various sources suggests a subtropical to tropical palaeoclimate, characterised by seasonal rainfall alternating with a pronounced dry season during the Late Jurassic. In Early Cretaceous times, sedimentological and palaeontological proxies suggest a climatic shift towards more humid conditions.",Aberhan,"Mitteilungen aus dem Museum für Naturkunde in Berlin, Geowissenschaftliche Reihe, 5: 19–44",Journal article,English,L,L_2636,"L_3874, L_3875, L_3876",aberhan et al. 2002,Aberhan et al. 2002
"Acosta Hospitaleche C., Griffin M., M. Asensio, A. L. Cione, C. Tambussi",2013,,Middle Cenozoic penguin remains from the Patagonian Cordillera,Andean Geology,10.5027/andgeoV40n32-a0?5?,,Acosta Hospitaleche,,Journal article,English,PBDB,PBDB_152083,PBDB_14323,acosta hospitaleche et al. 2013,Acosta Hospitaleche et al. 2013
"Acosta Hospitaleche C., Reguero M., ",2010,,"First articulated skeleton of Palaeeudyptes gunnari from the Late Eocene of Isla Marimbo (Seymour Island), Antarctica",Antarctic Science,,,Acosta Hospitaleche,,Journal article,English,PBDB,PBDB_100290,"PBDB_12040, PBDB_12041",acosta hospitaleche & reguero 2010,Acosta Hospitaleche & Reguero 2010
"Adegoke O. S., ",1977,,Stratigraphy and Paleontology of the Ewekoro Formation (Paleocene) of Southwestern Nigeria,Bulletins of American Paleontology,,,Adegoke,,unknown,unknown,PBDB,PBDB_7791,"PBDB_27219, PBDB_27220, PBDB_27221",adegoke 1977,Adegoke 1977
"Adegoke O.S., ",1968,,Eocene stratigraphy of southern Nigeria,Memoires du Bureau de Recherches Geologiques et Minieres,,,Adegoke,,Journal article,English,PBDB,PBDB_60711,"PBDB_25776, PBDB_25777, PBDB_25778, PBDB_25779, PBDB_25780, PBDB_25782, PBDB_25783, PBDB_25784, PBDB_25785, PBDB_25786, PBDB_25787, PBDB_25788, PBDB_25789, PBDB_27184, PBDB_27185, PBDB_27186, PBDB_27187, PBDB_27188, PBDB_27189, PBDB_27190, PBDB_27191, PBDB_27192, PBDB_25781",adegoke 1968,Adegoke 1968
"Adnet S., Antoine P. -O., S. R. Hassan Baqri, J. -Y. Crochet, L. Marivaux, J. -L. Welcomme, G. Métais",2007,,"New tropical carcharhinids (chondrichthyes, Carcharhiniformes) from the late Eocene-early Oligocene of Balochistan, Pakistan: Paleoenvironmental and paleogeographic implications",Journal of Asian Earth Sciences,10.1016/j.jseaes.2006.10.002,,Adnet,,Journal article,English,PBDB,"PBDB_150337, PBDB_150430, PBDB_151056, PBDB_78362, PBDB_78423, PBDB_78520","PBDB_14175, PBDB_14176, PBDB_14177, PBDB_14178, PBDB_14179, PBDB_14180, PBDB_14181, PBDB_14182, PBDB_14183, PBDB_14184, PBDB_14185, PBDB_14186, PBDB_14187, PBDB_14188, PBDB_14190, PBDB_14191, PBDB_14192, PBDB_14193, PBDB_14194, PBDB_14211, PBDB_24849, PBDB_27226, PBDB_27227, PBDB_27228, PBDB_27229, PBDB_27230, PBDB_27231, PBDB_27232, PBDB_27233, PBDB_27234, PBDB_27235, PBDB_27242, PBDB_27243, PBDB_27244, PBDB_27245, PBDB_27246, PBDB_27247, PBDB_27248, PBDB_27249, PBDB_27250, PBDB_27251, PBDB_27643",adnet et al. 2007,Adnet et al. 2007
"Adnet S., Balbino A. C., M. T. Antunes, J. M. Marin-Ferrer",2009,a,New fossil teeth of the white shark (Carcharodon carcharias) from the Early Pliocene of Spain. Implication for its paleoecology in the Mediterranean,"Neus Jahrbuch fur Geologie und Palaontologie, Abhandlungen",10.1127/0077-7749/2009/0029,,Adnet,,Journal article,English,PBDB,PBDB_118104,PBDB_12594,adnet et al. 2009a,Adnet et al. 2009a
"Adnet S., Capetta H., R. Mertiniene",2008,,Re-evaluation of squaloid shark records from the Albian and Cenomanian of Lithuania,Cretaceous Research,10.1016/j.cretres.2008.01.014,,Adnet,,Journal article,English,PBDB,"PBDB_213709, PBDB_213710, PBDB_213711, PBDB_213713, PBDB_213716, PBDB_213719, PBDB_213720, PBDB_90730, PBDB_90731","PBDB_19351, PBDB_19366, PBDB_19386, PBDB_19390, PBDB_19400, PBDB_19408, PBDB_19417, PBDB_19418, PBDB_19419, PBDB_1037, PBDB_10370",adnet et al. 2008,Adnet et al. 2008
