author,year,identifier,title,journal,keyword_time,keyword_place,described_species,described_genus,described_fam_ord,nov_fam,nov_gen,nov_sp,DOI,abstract,author1,journal_detail,pubtype,language,reference_display,reference_key
"Abbass H. L.,  , ",1972,,Paleontological studies of some Saudi Arabian lower Tertiary fossils,Egyptian Journal of Geology,,,,,,,,,,,Abbass,,Journal article,unknown,Abbass 1972,abbass 1972
"Abe T., Sugiyama M., T. Nakamura, T. Hiraoka, K. Hirota",1982,,"New occurrence of Desmostylus from the Miocene Fujina Formation, Shimane prefecture",Earth Science,,,,,,,,,,,Abe,,Journal article,Japanese,Abe et al. 1982,abe et al. 1982
"Aberhan, M. & Bussert, R. & Heinrich, W.-D. & Schrank, E. & Schultka, S. & Sames, B. & Kriwet, J. & Kapilima, S.",2002,,"Palaeoecology and depositional environments of the Tendaguru Beds (Late Jurassic to Early Cretaceous, Tanzania).",Geowissenschaftliche Reih,"Cretaceous, Early Cretaceous, Jurassic, Late Jurassic","Africa, Tanzania","Hybodus sp., Sphenodus sp., Engaibatis schultzei",,,,,,10.1002/mmng.20020050103,"The Late Jurassic to Early Cretaceous Tendaguru Beds (Tanzania, East Africa) have been well known for nearly a century for their diverse dinosaur assemblages. Here, we present sedimentological and palaeontological data collected by the German-Tanzanian Tendaguru Expedition 2000 in an attempt to reconstruct the palaeo-ecosystems of the Tendaguru Beds at their type locality. Our reconstructions are based on sedimentological data and on a palaeoecological analysis of macroinvertebrates, microvertebrates, plant fossils and microfossils (ostracods, foraminifera, charophytes, palynomorphs). In addition, we included data from previous expeditions, particularly those on the dinosaur assemblages.

The environmental model of the Tendaguru Beds presented herein comprises three broad palaeoenvironmental units in a marginal marine setting: (1) Lagoon-like, shallow marine environments above fair weather wave base and with evidence of tides and storms. These formed behind barriers such as ooid bar and siliciclastic sand bar complexes and were generally subject to minor salinity fluctuations. (2) Extended tidal flats and low-relief coastal plains. These include low-energy, brackish coastal lakes and ponds as well as pools and small fluvial channels of coastal plains in which the large dinosaurs were buried. Since these environments apparently were, at best, poorly vegetated, the main feeding grounds of giant sauropods must have been elsewhere. Presumably, tidal flats and coastal plains were visited by dinosaurs primarily during periods of drought. (3) Vegetated hinterland. Vegetation of this environment can only be inferred indirectly from plant material transported into the other depositional environments. Vegetation was dominated by a diverse conifer flora, which apparently formed part of the food source of large herbivorous sauropods. Evidence from various sources suggests a subtropical to tropical palaeoclimate, characterised by seasonal rainfall alternating with a pronounced dry season during the Late Jurassic. In Early Cretaceous times, sedimentological and palaeontological proxies suggest a climatic shift towards more humid conditions.",Aberhan,"Mitteilungen aus dem Museum für Naturkunde in Berlin, Geowissenschaftliche Reihe, 5: 19–44",Journal article,English,Aberhan et al. 2002,aberhan et al. 2002
"Acosta Hospitaleche C., Reguero M., ",2010,,"First articulated skeleton of Palaeeudyptes gunnari from the Late Eocene of Isla Marimbo (Seymour Island), Antarctica",Antarctic Science,,,,,,,,,,,Acosta Hospitaleche,,Journal article,English,Acosta Hospitaleche & Reguero 2010,acosta hospitaleche & reguero 2010
"Acosta Hospitaleche C., Griffin M., M. Asensio, A. L. Cione, C. Tambussi",2013,,Middle Cenozoic penguin remains from the Patagonian Cordillera,Andean Geology,,,,,,,,,10.5027/andgeoV40n32-a0?5?,,Acosta Hospitaleche,,Journal article,English,Acosta Hospitaleche et al. 2013,acosta hospitaleche et al. 2013
"Adegoke O. S.,  , ",1967,,A Probable Pogonophoran from the Early Oligocene of Oregon,Journal of Paleontology,,,,,,,,,,,Adegoke,,Journal article,English,Adegoke 1967,adegoke 1967
"Adegoke O.S.,  , ",1968,,Eocene stratigraphy of southern Nigeria,Memoires du Bureau de Recherches Geologiques et Minieres,,,,,,,,,,,Adegoke,,Journal article,English,Adegoke 1968,adegoke 1968
"Adegoke O. S.,  , ",1977,,Stratigraphy and Paleontology of the Ewekoro Formation (Paleocene) of Southwestern Nigeria,Bulletins of American Paleontology,,,,,,,,,,,Adegoke,,unknown,unknown,Adegoke 1977,adegoke 1977
"Adnet, S. & Cappetta, H.",2008,,"New fossil triakid sharks from the Eocene of Prémontré, France, and comments on fossil record of the family.",Acta Palaeontologica Polonica,"Paleogene, Eocene","Europe, France","Galeorhinus duchaussoisi, Galeorhinus louisi, Gomphogaleus rodgersi, Mustelus aff. vanderhoefti, Pachygaleus lefevrei,",,,,Gomphogaleus,"Galeorhinus duchaussoisi, Galeorhinus louisi,",10.4202/app.2008.0306,"During the last two decades, an abundant selachian assemblage has been collected from the late Ypresian (NP12)
fossiliferous sands of Prémontré (Aisne, northern France) but has received little attention. Sharks of the family Triakidae (Carcharhiniformes) are particularly well represented and all are described and figured herein. Among them, two new species of the genus Galeorhinus are described: G. duchaussoisi sp. nov. and G. louisi sp. nov.; these are compared to the common Paleogene G. ypresiensis which is refigured. Another triakid taxon, the genus Gomphogaleus gen. nov., is described. Most of the triakids have been recorded elsewhere in the North Atlantic region, suggesting a wider distribution than expected for these small sharks during the Paleogene. The present paper updates the list of selachians from Prémontré, bringing the number of taxa from 19 to 33 (including 22 sharks and 11 batoids) and improving our knowledge of the ancient North Atlantic Ypresian selachian fauna. Despite this vastly improved record, it is clear that fossil data are still very incomplete and insufficient for calibrating phylogenetic hypotheses of living forms. Review of the Prémontré fauna shows that the Triakidae were much more diverse and broadly distributed than at present, suggesting that the limited distribution and low diversity of living forms is probably a recent phenomenon.",Adnet,"Acta Palaeontologica Polonica, 53 (3): 433–448",Journal article,English,Adnet & Cappetta 2008,adnet & cappetta 2008
"Adnet, S. & Martin, R.A.",2007,,Increase of body size in sixgill sharks with change in diet as a possible background of their evolution.,Historical Biology,"Cretaceous, Tertiary, rezent",,"Hexanchus griseus, Hexanchus nakamurai, Hexanchus gigas, Hexanchus sp., Hexanchus andersoni, Hexanchus agassizi, Hexanchus casieri, Hexanchus tusbairicus, Hexanchus hookeri, Hexanchus microdon, Hexanchus collinsonae, Hexanchus gracilis",,,,,,10.1080/08912960701194461,"Body size variation of a predator is a simple way to follow the main changes in its food source during its life history or along its evolution in ecology and paleoecology, respectively. Here, we present possible first evidence of such predator-prey coevolution through the study of the body size evolution among sixgill sharks (genus Hexanchus) inferred from their fossil record and by comparison to the life history of its two recent species. As for the observed ontogenic diet change of the living bluntnose sixgill shark (H. griseus), its ancestors appear to have developed a similar penchant for dining on marine mammals at the end of the Paleogene with a remarkably well-correlated timing ",Adnet,"Historical Biology, 19 (4): 279-289",Journal article,English,Adnet & Martin 2007,adnet & martin 2007
